umbrella,gene,subtype,label,clinical_classification,clinical_dx_code,,,,,,,,,
MD,ACTA1,RSMD,ACTA1 Congenital Muscular Dystrophy with rigid spine,MD_ACTA1_RSMD,acta1_cmd,,,,,,,,,
MD,CHKB,MCMB,Choline Kinase B Receptor - CHKB ,MD_CHKB_MCMB,chkb,,,,,,,,,
MD,COL12A1,COL12,COL12 Related Bethlem Myopathy (BM2),MD_COL12A1_COL12,col12_bethlem2,,,,,,,,,
MD,COL12A1,COL12,Collagen XII Related Disorders ,MD_COL12A1_COL12,col12_rd,,,,,,,,,
MD,COL12A1,COL12,COL12 Related Ullrich CMD (UCMD2),MD_COL12A1_COL12,col12_ullrich2,,,,,,,,,
MD,COL12A1,COL12,COL12a1 Related CMD,MD_COL12A1_COL12,col12a1_rd,,,,,,,,,
MD,DAG1,ADG,LGMDR16 - DAG1 related Dystroglycanopathy (formerly LGMD2P),MD_DAG1_ADG,lgmdr16_dag1,,,,,,,,,
MD,DNAJB6,,LGMDD01 - DNAJB6 related (formerly LGMD1D),MD_DNAJB6_,lgmdd01_dnajb6,,,,,,,,,
MD,EMD,EDMD,"Emery Dreifuss Muscular Dystrophy 1, X-Linked EDMD1 (EMD)",MD_EMD_EDMD,edmd1_rd,,,,,,,,,
MD,FHL1,EDMD,"Emery Dreifuss Muscular Dystrophy 6, X-Linked EDMD6 (FHL1)",MD_FHL1_EDMD,edmd1_fhl1,,,,,,,,,
MD,FKBP14,EDS,"Ehlers-Danlos Syndrome, Type 2 (FKBP14)",MD_FKBP14_EDS,fkbp14_eds_2,,,,,,,,,
MD,FKBP14,EDS,FKBP14-kEDS,MD_FKBP14_EDS,fkbp14_keds,,,,,,,,,
MD,FKBP14,EDS,FKBP14-Related Disorders,MD_FKBP14_EDS,fkbp14_rd,,,,,,,,,
MD,FKRP,ADG,LGMDR09 - FKRP related (formerly LGMD2I),MD_FKRP_ADG,lgmdr09_fkrp,,,,,,,,,
MD,FKRP,ADG,LGMDR09 FKRP Related (formerly LGMD2I),MD_FKRP_ADG,adg_fkrp_lgmdr09,,,,,,,,,
MD,FKTN,ADG,Fukuyama CMD ,MD_FKTN_ADG,adg_fukuyama,,,,,,,,,
MD,FKTN,ADG,LGMDR13 - Fukutin (FKTN) related (formerly LGMD2M),MD_FKTN_ADG,lgmdr13_fktn,,,,,,,,,
MD,FKTN,ADG,LGMDR13 FKTN Related (formerly LGMD2M),MD_FKTN_ADG,adg_lgmdr13_fktn,,,,,,,,,
MD,GMPPB,ADG,LGMDR19 - GMPPB related (formerly LGMD2T),MD_GMPPB_ADG,lgmdr19_gmppb,,,,,,,,,
MD,GMPPB,ADG,LGMDR19 GMPPB Related (formerly LGMD2T),MD_GMPPB_ADG,adg_lgmd19_gmppb,,,,,,,,,
MD,GMPPB,ADG,LGMDR19 GMPPB related (formerly LGMD2T/MDDGC14),MD_GMPPB_ADG,gmppb_lgmdr19,,,,,,,,,
MD,GOLGA2,ADG,GOLGA2-related congenital muscle dystrophy with brain involvement,MD_GOLGA2_ADG,cmd_golga2,,,,,,,,,
MD,INPP5K,ADG,Congenital Muscular Dystrophy with cataracts and intellectual disability (MDCCAID) ,MD_INPP5K_ADG,cmd_mdccaid,,,,,,,,,
MD,ISPD,ADG,LGMDR20 - ISPD related (formerly LGMD2U),MD_ISPD_ADG,lgmdr20_ispd,,,,,,,,,
MD,ISPD,ADG,LGMDR20 ISPD related (formerly LGMD2U),MD_ISPD_ADG,adg_lgmdr20_ispd,,,,,,,,,
MD,KBTBD13,NM,LGMD related to KBTBD13,MD_KBTBD13_NM,lgmd_kbtbd13_nm,,,,,,,,,
MD,LAMA2,LAMA2,LAMA2-CMD,MD_LAMA2_LAMA2,lama2_cmd,,,,,,,,,
MD,LAMA2,LAMA2,LGMDR23,MD_LAMA2_LAMA2,lama2_lgmdr23,,,,,,,,,
MD,LAMA2,LAMA2,MDC1A,MD_LAMA2_LAMA2,lama2_mdc1a,,,,,,,,,
MD,LAMA2,LAMA2,"LAMA2-CMD (Merosin Deficient, full or partial)",MD_LAMA2_LAMA2,lama2_rd,,,,,,,,,
MD,LAMA2,LAMA2,LGMDR23 - LAMA2 related,MD_LAMA2_LAMA2,lgmdr23_lama2,,,,,,,,,
MD,LMNA,EDMD,"Emery-Dreifuss muscular dystrophy - EDMD2, EDMD3 (LMNA)",MD_LMNA_EDMD,lmna_edmd2_3,,,,,,,,,
MD,LMNA,LMNA,LMNA/EDMD Related Heart Conditions (LMNA) ,MD_LMNA_LMNA,lmna_edmd_heart,,,,,,,,,
MD,LMNA,LMNA,Laminopathy (Lamin A/C) ,MD_LMNA_LMNA,lmna_laminopathy,,,,,,,,,
MD,LMNA,LMNA,LMNA related Emery-Dreifuss MD (EDMD) (formerly LGMD1B),MD_LMNA_LMNA,lmna_lgmd1b_edmd,,,,,,,,,
MD,LMNA,LMNA,LMNA Related Disorders ,MD_LMNA_LMNA,lmna_rd,,,,,,,,,
