label,clinical_dx_code
ACTA1 Congenital Muscular Dystrophy with rigid spine,acta1_cmd
ACTA1 Related Cap,cap_acta1
ACTA1 Related MMD,acta1_mmd
Actin Aggregation Myopathy ,acta1_cm
ACTN2 Related Congenital Myopathy,actn2_mscd
Alpha 7 Integrin Related CMD (ITGA7),itga7_cmd
Alpha 7 Integrin Related Myopathy (ITGA7),itga7_cm
alpha-Dystroglycanopathy ,adg_rd
"Arthrogryposis, distal, type 1A - DA1A (TPM2)",tpm2_da1a_nm
"Arthrogryposis, distal, type 2B - DA2B (TPM2)",tpm2_da2b_nm
Autosomal dominant myopathy with proximal muscle weakness and early respiratory (TTN) ,ttn_ad_cm
"Bethlem Myopathy (BM, BETHLM) ",col6_bethlem
BIN1 Related CNM,cnm_bin1
Brody Myopathy (ATP2A1),atp2a1_brody
CACNA1S Related Myopathy,cacna1s_rm
Cap myopathy - CAPM1 (TPM3),tpm3_capm1_nm
Cap myopathy - CAPM2 (TPM2),tpm2_capm2_nm
Cap Myopathy/Cap Disease ,cap_rd
"Cardiomyopathy, dilated, 1S - CMD1S",cardiomyopathy_1s
"Cardiomyopathy, familial hypertrophic, 1, included - CMH1",cardiomyopathy_h1
"Cardiomyopathy, familial hypertrophic, 9 - CMH9 (TTN)",ttn_cmh9
CCDC78-Related Centronuclear Myopathy,ccdc78_cnm
Central Core Disease - CCD ,ccd_rd
Central Core Disease - CCD (RYR1),ryr1_ccd
Centronuclear Myopathy - CNM ,cnm_rd
Centronuclear Myopathy (RYR1),ryr1_cnm
Centronuclear myopathy related to TTN ,ttn_cnm
"Charcot-Marie-Tooth disease, axonal, type 2B1 - CMT2B1 (LMNA)",lmna_cmt2b1
Choline Kinase B Receptor - CHKB ,chkb
CMH25 (TCAP),tcap_cmh25
CNM1,cnm_1
CNTN1-Related Congenital Myopathy,cntn1_rm
COL12 Related Bethlem Myopathy (BM2),col12_bethlem2
COL12 Related Ullrich CMD (UCMD2),col12_ullrich2
COL12a1 Related CMD,col12a1_rd
Collagen VI Related Disorders ,col6_rd
Collagen XII Related Disorders ,col12_rd
Collagen XIII Related Congenital Myasthenic Syndrome ,cms_col13
Compton-North Congenital Myopathy (MYPCN) ,mypcn
Congenital Fiber Type Disproportion - CFTD ,cftd_cm
Congenital Fiber Type Disproportion - CFTD (ACTA1),acta1_nm
Congenital Fiber Type Disproportion - CFTD (MYH2),myh2_cftd
Congenital Fiber Type Disproportion - CFTD (RYR1),ryr1_cftd
Congenital Fiber Type Disproportion - CFTD (SELENON) ,seleonon_cftd
Congenital Muscle Disease ,congenital_muscle_disease
Congenital Muscular Dystrophy ,cmd_rd
Congenital Muscular Dystrophy and abnormal glycosylation of dystroglycan with severe epilepsy ,adg_epilepsy
Congenital Muscular Dystrophy Not Otherwise Specified (Including Merosin Positive) ,cmd_nos
Congenital Muscular Dystrophy with cataracts and intellectual disability (MDCCAID) ,cmd_mdccaid
Congenital Muscular Dystrophy with fatty liver and infantile-onset cataract caused by TRAPPC11 mutations,adg_trappc11
Congenital Muscular Dystrophy with hypoglycosylation of dystroglycan ,adg_hypoglycosylation
Congenital Muscular Dystrophy with hypoglycosylation of dystroglycan and epilepsy ,adg_hypoglycosylation_epilepsy
Congenital Muscular Dystrophy with joint hyperlaxity ,cmd_hyperlaxity
Congenital Myasthenic Syndrome - CMS ,cms_rd
Congenital myasthenic syndrome with choline acetyltransferase deficiency - CMS-EA ,cms_ea
Congenital myasthenic syndrome with endplate acetylcholinesterase deficiency - EAD ,cms_ead
Congenital Myopathy ,cm_rd
Congenital Myopathy Not Otherwise Specified ,cm_nos
Congenital Myopathy with ophthalmopelgia (CACN1S),cacna1s_ophthal_rm
Congenital Myosclerosis ,col6_myosclerosis
Core Rod Myopathy ,cr_rd
DES related Myofibrillar Myopathy (formerly LGMD1E or LGMD2R),des_mfm_lgmd1e_lgmd2r
Desmin-Related Myopathy with Mallory Bodies ,desmin_cm
Desmin-Related Myopathy with Mallory Bodies (SELENON) ,selenon_desmin
Distal motor neuropathy related to SYT2,cms_syt2
Distal Myopathy ,
"Distal Myopathy 1, Laing Distal Myopathy - MPD1 (MYH7)",mpd1_cm
